Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2023-01-01 ,00:00,7373.01,1105.5099999999998,0.0,0.0,205.3,145.8,226.6,3005.1,0,363.9,363.7,1278.0,999.5
2023-01-01 ,01:00,7464.26,1171.96,0.0,0.0,192.25,124.4,225.45,3008.9,0,363.9,363.9,1280.0,1001.1
2023-01-01 ,02:00,6896.76,1833.65,0.0,0.0,83.33,115.75,219.88,3009.0,0,364.0,364.1,1280.0,1000.9
2023-01-01 ,03:00,7145.96,2006.7099999999996,0.0,0.0,64.43,104.4,217.85,3008.6,0,363.9,363.7,1280.0,1001.0
2023-01-01 ,04:00,7148.45,1698.2000000000003,0.0,0.0,70.9,114.33,211.2,3007.5,0,364.1,363.0,1280.0,1000.4
2023-01-01 ,05:00,7148.89,1288.0199999999998,0.0,0.0,165.4,106.28,215.1,3006.5,0,363.9,362.6,1280.0,1000.0
2023-01-01 ,06:00,7165.62,1939.4,0.0,0.0,111.85,106.0,216.08,3005.6,0,364.0,362.7,1279.0,999.9
2023-01-01 ,07:00,7154.78,1747.9899999999998,0.0,0.0,115.25,105.03,215.08,3007.6,0,364.0,362.8,1281.0,999.8
2023-01-01 ,08:00,6961.26,1865.56,0.0,0.0,115.23,130.1,215.0,3006.1,0,364.1,363.0,1280.0,999.0
2023-01-01 ,09:00,6956.48,1723.83,0.0,0.0,92.33,107.88,216.0,3005.9,0,364.0,363.6,1280.0,998.3
2023-01-01 ,10:00,6952.93,1273.62,0.0,0.0,87.18,98.95,217.45,3002.1,0,364.1,363.8,1276.0,998.2
2023-01-01 ,11:00,6941.52,1671.31,0.0,0.0,85.4,135.93,217.5,2997.3,0,364.0,364.0,1273.0,996.3
2023-01-01 ,12:00,6948.93,1230.05,0.0,0.0,94.8,131.93,218.83,2996.0,0,364.0,364.2,1272.0,995.8
2023-01-01 ,13:00,6951.72,1100.07,0.0,0.0,153.6,193.8,218.25,2993.9,0,363.9,364.3,1271.0,994.7
2023-01-01 ,14:00,6948.95,-84.26999999999998,0.0,0.0,112.85,207.3,216.85,2992.5,0,363.9,364.3,1270.0,994.3
2023-01-01 ,15:00,6966.14,-545.25,0.0,0.0,799.45,246.13,232.83,2994.2,0,364.0,364.0,1271.0,995.2
2023-01-01 ,16:00,6696.19,-539.7699999999995,0.0,0.0,1413.68,222.28,234.48,2995.5,0,363.8,363.3,1272.0,996.4
2023-01-01 ,17:00,7675.24,-1215.3000000000002,0.0,0.0,1770.08,315.48,232.08,2997.0,0,363.8,363.2,1275.0,995.0
2023-01-01 ,18:00,7459.96,-1319.67,0.0,0.0,1733.05,348.83,230.38,2999.3,0,363.8,363.1,1276.0,996.4
2023-01-01 ,19:00,7151.05,-864.9700000000003,0.0,0.0,1375.0,213.38,235.88,3003.3,0,363.9,363.2,1278.0,998.2
2023-01-01 ,20:00,7408.21,-97.60000000000036,0.0,0.0,755.0,119.5,207.88,3012.3,0,363.9,363.4,1279.0,1006.0
2023-01-01 ,21:00,7497.34,-48.190000000000055,0.0,0.0,712.35,127.15,206.23,3010.3,0,364.0,363.8,1279.0,1003.5
2023-01-01 ,22:00,6775.05,-46.42000000000007,0.0,0.0,767.18,142.0,205.83,3010.3,0,363.9,363.7,1280.0,1002.7
2023-01-01 ,23:00,6905.48,1795.19,0.0,0.0,252.43,145.73,204.25,3009.2,0,363.9,363.4,1280.0,1001.9
2023-01-02 ,00:00,7264.91,2248.21,0.0,0.0,145.38,119.13,206.2,3011.2,0,363.9,363.5,1281.0,1002.8
2023-01-02 ,01:00,7265.86,2347.37,0.0,0.0,118.6,115.13,204.15,3011.9,0,363.8,363.4,1281.0,1003.7
2023-01-02 ,02:00,7266.41,2806.3900000000003,0.0,0.0,118.3,124.55,198.38,3014.8,0,363.9,363.2,1283.0,1004.7
2023-01-02 ,03:00,7266.32,2819.3900000000003,0.0,0.0,122.8,104.0,200.68,3013.4,0,363.9,362.4,1282.0,1005.1
2023-01-02 ,04:00,7264.08,1942.64,0.0,0.0,135.2,191.65,202.03,3012.4,0,363.8,362.0,1283.0,1003.6
2023-01-02 ,05:00,7263.32,1063.2200000000003,0.0,0.0,347.95,218.43,210.25,3010.6,0,363.6,361.6,1283.0,1002.4
2023-01-02 ,06:00,7325.54,560.4699999999999,0.0,0.0,512.4,206.88,214.85,3012.9,0,363.7,361.6,1283.0,1004.6
2023-01-02 ,07:00,7318.06,-162.53000000000014,0.0,0.0,1088.8,170.73,223.3,3015.6,0,363.7,361.6,1284.0,1006.3
2023-01-02 ,08:00,7461.16,106.96000000000012,0.0,0.0,1050.13,153.03,218.75,3013.5,0,363.6,361.9,1284.0,1004.0
2023-01-02 ,09:00,7525.08,-100.95999999999981,0.0,0.0,941.45,169.65,222.4,3012.8,0,363.7,362.1,1283.0,1004.0
2023-01-02 ,10:00,7387.44,-243.71,0.0,0.0,867.93,148.68,215.13,3011.6,0,363.8,362.5,1283.0,1002.3
2023-01-02 ,11:00,7352.54,277.34000000000003,0.0,0.0,684.08,133.28,219.2,3007.1,0,363.7,362.7,1280.0,1000.7
2023-01-02 ,12:00,7405.1,216.33999999999992,0.0,0.0,446.73,144.6,216.5,3003.0,0,363.9,363.4,1278.0,997.7
2023-01-02 ,13:00,7384.33,101.35000000000002,0.0,0.0,375.3,169.2,214.8,2999.3,0,363.9,363.7,1276.0,995.7
2023-01-02 ,14:00,7353.95,-1114.21,0.0,0.0,1385.08,238.23,213.88,2996.5,0,364.0,363.6,1274.0,994.9
2023-01-02 ,15:00,7322.33,-803.6500000000001,0.0,0.0,1482.03,203.68,232.0,2995.6,0,363.9,363.6,1273.0,995.1
2023-01-02 ,16:00,7613.0,-1718.1699999999996,0.0,0.0,2188.35,457.0,270.5,2997.0,0,363.9,363.6,1274.0,995.5
2023-01-02 ,17:00,7910.33,-2064.06,0.0,0.0,2244.93,589.63,257.48,2997.3,0,363.8,363.3,1274.0,996.2
2023-01-02 ,18:00,7481.65,-1557.14,0.0,0.0,2078.78,334.83,255.5,3000.8,0,363.9,363.4,1276.0,997.5
2023-01-02 ,19:00,7246.72,-1197.6599999999999,0.0,0.0,1739.8,178.1,252.83,2999.8,0,363.9,363.4,1275.0,997.5
2023-01-02 ,20:00,7569.52,-509.1,0.0,0.0,1133.23,192.2,220.23,3002.6,0,364.0,363.8,1276.0,998.8
2023-01-02 ,21:00,7098.59,-210.20000000000005,0.0,0.0,926.13,165.55,215.6,3012.8,0,364.1,364.2,1277.0,1007.5
2023-01-02 ,22:00,7304.47,125.50999999999976,0.0,0.0,639.85,83.13,218.7,3013.8,0,364.0,364.3,1277.0,1008.5
2023-01-02 ,23:00,7279.24,764.5999999999999,0.0,0.0,300.2,88.8,186.63,3016.5,0,363.9,364.2,1279.0,1009.4
2023-01-03 ,00:00,7370.05,757.8500000000001,0.0,0.0,305.28,123.5,184.53,3016.0,0,364.1,364.4,1278.0,1009.5
2023-01-03 ,01:00,7370.26,925.12,0.0,0.0,325.13,60.35,185.35,3016.0,0,364.0,364.3,1279.0,1008.7
2023-01-03 ,02:00,7329.81,1149.0,0.0,0.0,303.95,53.7,184.0,3007.0,0,363.9,364.3,1278.0,1000.8
