Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2022-09-01 ,00:00,5584.42,1005.98,0,0,114.88,615.75,133.23,2955.3,0,0,0,0,0
2022-09-01 ,01:00,5542.26,1832.3799999999999,0,0,119.13,502.28,125.05,2956.7,0,0,0,0,0
2022-09-01 ,02:00,6040.05,2195.45,0,0,101.73,451.23,126.65,2959.0,0,0,0,0,0
2022-09-01 ,03:00,5587.44,651.05,0,0,183.05,74.3,127.65,1971.1,0,0,0,0,0
2022-09-01 ,04:00,5924.22,-481.78,0,0,213.48,305.83,175.33,1971.0,0,0,0,0,0
2022-09-01 ,05:00,6537.52,-1841.8000000000002,0,0,608.68,459.93,302.7,1970.6,0,0,0,0,0
2022-09-01 ,06:00,6980.05,-2297.18,0,0,998.38,489.5,290.55,1968.9,0,0,0,0,0
2022-09-01 ,07:00,7573.38,-744.9899999999998,0,0,417.68,450.98,283.88,1476.1,0,0,0,0,0
2022-09-01 ,08:00,7429.01,-23.71000000000015,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
2022-09-01 ,09:00,7496.16,2968.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0
