Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2022-11-01 ,00:00,7039.29,2558.91,44.76,0.0,102.73,236.63,149.33,2992.8,0,360.9,362.0,1271.0,998.9
2022-11-01 ,01:00,7169.46,2300.92,36.62,0.0,137.15,234.9,183.83,2992.2,0,360.8,361.9,1271.0,998.5
2022-11-01 ,02:00,6983.5,2386.3999999999996,48.01,0.0,115.4,240.03,190.03,2991.0,0,360.8,362.0,1271.0,997.2
2022-11-01 ,03:00,7011.92,2407.5600000000004,58.0,0.0,88.0,253.8,188.0,2988.3,0,360.9,361.7,1269.0,996.7
2022-11-01 ,04:00,6918.72,2448.36,48.71,0.0,115.78,255.0,201.7,2987.9,0,361.0,361.2,1270.0,995.7
2022-11-01 ,05:00,6982.62,2895.73,43.8,0.0,150.63,323.95,218.8,2983.7,0,360.9,361.2,1268.0,993.6
2022-11-01 ,06:00,7501.18,2802.62,39.79,0.0,142.95,449.78,250.65,2982.7,0,360.9,361.1,1266.0,994.7
2022-11-01 ,07:00,8095.68,2667.5200000000004,33.4,11.22,161.63,484.75,243.63,2982.9,0,360.9,361.3,1266.0,994.7
2022-11-01 ,08:00,8320.04,3270.66,18.79,133.36,125.28,284.63,240.78,2981.8,0,360.9,361.4,1265.0,994.5
2022-11-01 ,09:00,8690.72,3461.96,12.1,367.03,135.95,248.43,198.53,2979.9,0,360.7,361.2,1264.0,994.0
2022-11-01 ,10:00,8678.98,3692.18,10.47,775.59,189.65,226.43,194.98,2978.7,0,360.7,361.6,1263.0,993.4
2022-11-01 ,11:00,8900.65,3828.51,10.48,1413.82,97.75,219.45,190.33,2977.2,0,360.6,361.4,1262.0,993.2
2022-11-01 ,12:00,8851.65,3585.67,7.92,1378.02,94.05,229.78,189.5,2974.3,0,360.4,361.4,1260.0,992.5
2022-11-01 ,13:00,8730.36,2999.73,6.24,900.06,148.43,267.58,187.53,2974.6,0,360.7,361.7,1260.0,992.2
2022-11-01 ,14:00,8136.27,2697.66,5.98,503.5,164.93,400.75,199.35,2975.9,0,360.6,361.6,1262.0,991.7
2022-11-01 ,15:00,7775.43,2134.54,8.12,148.7,294.03,625.35,199.63,2978.4,0,360.7,361.5,1264.0,992.2
2022-11-01 ,16:00,7617.91,563.04,17.97,0.0,642.05,1145.08,192.28,2979.4,0,360.7,361.1,1264.0,993.6
2022-11-01 ,17:00,7692.05,-841.7999999999997,26.62,0.0,818.28,1218.8,292.63,2981.4,0,360.6,361.1,1266.0,993.7
2022-11-01 ,18:00,7481.74,-548.9300000000001,25.96,0.0,876.35,859.05,296.33,2984.4,0,360.6,361.0,1268.0,994.8
2022-11-01 ,19:00,7114.89,1298.33,25.0,0.0,495.43,438.08,235.18,2984.6,0,360.6,361.2,1268.0,994.8
2022-11-01 ,20:00,7122.83,1388.96,31.36,0.0,381.45,397.15,172.98,2987.4,0,360.7,361.4,1270.0,995.3
2022-11-01 ,21:00,6765.95,1495.7200000000003,37.24,0.0,629.68,377.0,162.7,2990.1,0,360.8,361.5,1272.0,995.8
2022-11-01 ,22:00,7070.95,2273.96,31.88,0.0,102.63,284.08,153.48,2991.5,0,360.7,361.8,1272.0,997.0
2022-11-01 ,23:00,7136.36,2023.3400000000001,19.76,0.0,97.08,139.93,164.18,2994.1,0,360.8,361.7,1274.0,997.6
2022-11-02 ,00:00,6665.46,2846.78,21.67,0.0,38.2,132.65,155.58,2993.4,0,360.8,361.8,1272.0,998.8
2022-11-02 ,01:00,7257.36,3048.04,18.35,0.0,14.6,123.15,163.28,2994.4,0,360.8,362.0,1273.0,998.6
2022-11-02 ,02:00,7359.85,2991.12,13.99,0.0,37.9,106.15,170.18,2993.1,0,360.8,361.9,1272.0,998.4
2022-11-02 ,03:00,7298.86,2800.85,18.91,0.0,40.2,120.75,169.95,2993.5,0,360.9,361.6,1273.0,998.0
2022-11-02 ,04:00,7217.89,2337.2400000000002,19.3,0.0,88.6,220.55,167.4,2991.1,0,360.8,361.2,1272.0,997.1
2022-11-02 ,05:00,6989.29,1807.64,25.95,0.0,377.78,297.35,171.88,2990.9,0,360.8,360.8,1272.0,997.3
2022-11-02 ,06:00,7118.02,189.47000000000014,22.96,0.0,1436.08,463.28,288.08,2986.9,0,360.9,360.6,1272.0,993.4
2022-11-02 ,07:00,7338.82,-94.24000000000007,17.63,13.07,1502.45,801.03,288.83,2971.8,0,360.8,360.9,1272.0,978.1
