Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2017-12-01 ,00:00,7189.26,3616.1400000000003,6.85,0.28,146.6,732.08,99.98,1744.1,373.5,363.1,0.0,0.0,1007.5
2017-12-01 ,01:00,7273.49,4420.25,9.81,0.28,60.1,596.43,97.55,1742.2,373.3,363.0,0.0,0.0,1005.9
2017-12-01 ,02:00,7776.02,4346.9800000000005,7.82,0.28,117.35,565.55,98.4,1743.5,373.5,362.8,0.0,0.0,1007.2
2017-12-01 ,03:00,7730.25,4630.94,5.3,0.26,94.73,481.6,95.6,1744.3,373.4,361.9,0.0,0.0,1009.0
2017-12-01 ,04:00,7881.49,3683.4799999999996,1.97,0.25,233.2,1065.73,94.38,1749.4,373.4,360.8,0.0,0.0,1015.2
2017-12-01 ,05:00,7494.33,2248.5699999999997,0.33,0.25,803.28,2057.45,131.53,1748.4,373.3,360.4,0.0,0.0,1014.7
2017-12-01 ,06:00,7992.1,-796.8699999999997,0.51,0.26,3074.38,2610.48,125.53,1746.7,373.3,360.0,0.0,0.0,1013.4
2017-12-01 ,07:00,8821.82,-668.7499999999995,0.5,1.03,3143.13,2584.88,118.03,1742.9,373.3,360.3,0.0,0.0,1009.3
2017-12-01 ,08:00,9180.59,-815.1899999999996,0.46,4.5,3231.03,2642.05,120.63,1743.1,373.1,360.7,0.0,0.0,1009.3
2017-12-01 ,09:00,9210.04,95.52999999999975,0.74,13.19,2560.65,1640.38,123.08,1239.6,373.2,361.3,0.0,0.0,505.1
2017-12-01 ,10:00,9241.56,300.82000000000016,0.83,26.04,2265.35,923.23,118.8,734.8,373.1,361.7,0.0,0.0,0.0
2017-12-01 ,11:00,9155.34,-142.45999999999958,0.37,36.44,2517.18,992.35,122.03,735.4,373.2,362.2,0.0,0.0,0.0
2017-12-01 ,12:00,8804.59,542.3200000000002,0.78,36.33,2006.28,972.95,110.0,735.4,373.3,362.1,0.0,0.0,0.0
2017-12-01 ,13:00,8814.74,627.5000000000009,3.05,23.97,2015.63,952.1,116.0,735.6,373.3,362.3,0.0,0.0,0.0
2017-12-01 ,14:00,8674.17,-5.2999999999995,4.52,9.95,2399.3,986.03,134.55,735.3,373.3,362.0,0.0,0.0,0.0
2017-12-01 ,15:00,8604.92,-648.3299999999999,4.31,1.3,2486.28,1070.3,137.63,734.9,373.2,361.7,0.0,0.0,0.0
2017-12-01 ,16:00,8739.56,-1332.04,3.99,0.3,2701.48,1138.2,134.83,734.8,373.1,361.7,0.0,0.0,0.0
2017-12-01 ,17:00,9060.97,-1700.5000000000005,4.21,0.3,2637.4,1172.45,134.58,734.8,373.1,361.7,0.0,0.0,0.0
2017-12-01 ,18:00,8960.77,-1603.090000000001,4.37,0.29,2725.13,1065.93,103.28,735.1,373.3,361.8,0.0,0.0,0.0
2017-12-01 ,19:00,8607.33,-371.00000000000045,1.78,0.27,1717.95,966.48,105.03,735.4,373.2,362.2,0.0,0.0,0.0
2017-12-01 ,20:00,8126.07,745.4900000000007,2.29,0.25,773.75,849.65,104.13,735.8,373.2,362.6,0.0,0.0,0.0
2017-12-01 ,21:00,7762.73,814.1300000000001,2.73,0.23,785.98,874.93,85.75,736.7,373.3,363.4,0.0,0.0,0.0
2017-12-01 ,22:00,7694.2,1288.31,3.02,0.24,738.88,855.43,87.33,736.8,373.3,363.5,0.0,0.0,0.0
2017-12-01 ,23:00,7489.3,1434.2100000000003,3.7,0.26,444.3,647.6,86.78,736.8,373.4,363.4,0.0,0.0,0.0
2017-12-02 ,00:00,7288.05,2809.89,2.88,0.27,412.18,422.7,83.43,736.8,373.4,363.4,0.0,0.0,0.0
2017-12-02 ,01:00,7166.86,3158.57,3.05,0.27,208.63,406.1,76.7,737.0,373.5,363.5,0.0,0.0,0.0
2017-12-02 ,02:00,7054.85,3784.65,4.8,0.27,181.78,282.8,77.3,736.5,373.2,363.3,0.0,0.0,0.0
