StartDate,StartTime,EndDate,EndTime,Type,UnitName,Reason
2017-01-01 ,00:00,2017-02-15 ,12:00,Planned,Leibstadt,Failure
2017-01-01 ,00:00,2017-02-17 ,18:00,Planned,Leibstadt,Foreseen Maintenance
2017-01-01 ,00:00,2018-01-01 ,00:00,Forced,Beznau 1,Foreseen Maintenance
2017-02-15 ,12:00,2017-02-17 ,18:00,Forced,Leibstadt,Failure
2017-02-15 ,12:00,2017-09-18 ,12:00,Planned,Leibstadt,Failure
2017-02-17 ,18:00,2017-09-18 ,12:00,Planned,Leibstadt,Failure
2017-02-17 ,22:30,2017-09-18 ,12:00,Planned,Leibstadt,Failure
2017-02-17 ,23:24,2017-02-20 ,20:00,Forced,Leibstadt,Failure
2017-02-18 ,01:24,2017-09-18 ,12:00,Planned,Leibstadt,Foreseen Maintenance
2017-02-20 ,17:15,2017-05-20 ,07:00,Forced,Leibstadt,Failure
2017-02-20 ,17:15,2017-09-18 ,12:00,Planned,Leibstadt,Foreseen Maintenance
2017-02-20 ,17:15,2017-09-18 ,12:00,Planned,Leibstadt,Failure
2017-02-20 ,20:00,2017-09-18 ,12:00,Planned,Leibstadt,Foreseen Maintenance
2017-03-09 ,05:00,2017-03-09 ,09:00,Planned,KKM Produktion,Foreseen Maintenance
2017-05-02 ,12:00,2017-05-14 ,12:00,Planned,Beznau 1,Foreseen Maintenance
2017-05-11 ,04:45,2017-05-11 ,07:30,Planned,KKM Produktion,Foreseen Maintenance
2017-05-20 ,07:00,2017-05-20 ,12:00,Forced,Leibstadt,Foreseen Maintenance
2017-05-20 ,07:00,2017-05-20 ,12:00,Planned,Leibstadt,Failure
2017-05-20 ,07:00,2017-05-20 ,12:00,Forced,Leibstadt,Failure
2017-05-20 ,12:00,2017-08-19 ,07:30,Forced,Leibstadt,Failure
2017-05-20 ,12:00,2017-09-18 ,12:00,Planned,Leibstadt,Failure
2017-06-04 ,00:00,2017-07-01 ,00:00,Planned,Kernkraftwerk Gösgen,Foreseen Maintenance
2017-06-09 ,12:00,2017-07-07 ,12:00,Planned,Beznau 2,Foreseen Maintenance
2017-07-23 ,00:00,2017-09-10 ,23:59,Planned,KKM Produktion,Foreseen Maintenance
2017-07-24 ,12:00,2017-09-12 ,12:00,Planned,Leibstadt,Foreseen Maintenance
2017-07-24 ,15:10,2017-07-24 ,17:50,Planned,Kernkraftwerk Gösgen,Foreseen Maintenance
2017-07-27 ,11:10,2017-07-27 ,17:50,Planned,Kernkraftwerk Gösgen,Foreseen Maintenance
2017-07-31 ,12:00,2017-09-19 ,12:00,Planned,Leibstadt,Foreseen Maintenance
2017-08-04 ,21:17,2017-08-05 ,12:00,Forced,Beznau 2,Failure
2017-08-04 ,21:17,2017-08-08 ,00:00,Forced,Beznau 2,Foreseen Maintenance
2017-08-13 ,00:00,2017-09-09 ,23:59,Planned,KKM Produktion,Foreseen Maintenance
2017-08-18 ,12:00,2017-09-27 ,20:00,Planned,Beznau 2,Foreseen Maintenance
2017-08-19 ,07:30,2017-08-19 ,09:00,Planned,Leibstadt,Failure
2017-08-19 ,07:30,2017-08-19 ,09:00,Forced,Leibstadt,Failure
2017-08-19 ,09:00,2017-09-18 ,12:00,Planned,Leibstadt,Failure
2017-08-19 ,09:00,2017-09-18 ,12:00,Forced,Leibstadt,Failure
2017-09-18 ,12:00,2017-11-07 ,12:00,Planned,Leibstadt,Foreseen Maintenance
2017-09-18 ,12:00,2017-11-17 ,20:00,Planned,Leibstadt,Failure
2017-09-18 ,12:00,2017-12-21 ,12:00,Forced,Leibstadt,Failure
2017-11-07 ,12:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-11-17 ,20:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-18 ,05:45,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-18 ,09:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-21 ,12:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-21 ,12:29,2017-12-22 ,11:00,Forced,Leibstadt,Failure
2017-12-21 ,16:29,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-22 ,06:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-22 ,10:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
2017-12-22 ,11:00,2018-01-01 ,00:00,Planned,Leibstadt,Failure
