Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2018-11-01 ,00:00,6833.64,3441.25,1.92,0.0,47.93,847.35,136.13,2110.3,371.6,365.7,365.8,0.0,1007.2
2018-11-01 ,01:00,6952.04,3588.9399999999996,1.45,0.0,46.53,878.6,138.5,2109.9,371.7,365.7,365.3,0.0,1007.2
2018-11-01 ,02:00,7006.29,3461.0299999999997,1.15,0.0,23.3,933.73,141.63,2109.8,371.8,365.7,365.4,0.0,1006.9
2018-11-01 ,03:00,6949.72,3442.5099999999998,2.37,0.0,33.93,854.15,137.45,2109.6,371.7,365.8,364.9,0.0,1007.2
2018-11-01 ,04:00,6924.64,3776.1800000000003,1.96,0.0,42.48,815.7,138.45,2109.1,371.7,365.7,364.2,0.0,1007.5
2018-11-01 ,05:00,7196.84,4303.51,2.39,0.0,74.23,881.58,144.78,2108.1,371.7,365.7,363.7,0.0,1007.0
2018-11-01 ,06:00,7738.56,4528.57,1.16,0.2,107.15,892.35,141.85,2108.0,371.7,365.7,364.0,0.0,1006.6
2018-11-01 ,07:00,8012.13,4744.47,0.98,2.27,77.75,866.6,142.68,2107.7,371.7,365.8,364.2,0.0,1006.0
2018-11-01 ,08:00,8350.23,4409.290000000001,1.59,9.45,50.08,916.63,145.58,2107.8,372.3,365.7,364.5,0.0,1005.3
2018-11-01 ,09:00,8389.9,4168.85,0.59,32.58,78.1,843.43,138.98,2106.5,372.3,365.7,365.1,0.0,1003.4
2018-11-01 ,10:00,8492.93,3999.6800000000003,0.38,44.94,79.7,825.7,138.88,2104.1,371.7,365.7,365.6,0.0,1001.1
2018-11-01 ,11:00,8437.65,3381.35,0.52,46.14,75.73,932.6,138.23,2101.6,371.8,365.7,365.8,0.0,998.3
2018-11-01 ,12:00,8042.54,3497.48,0.67,41.28,89.7,944.5,153.85,2099.6,371.4,365.6,365.7,0.0,996.9
2018-11-01 ,13:00,7987.91,3733.35,0.41,27.43,30.53,863.8,155.45,2098.6,371.4,365.6,365.8,0.0,995.8
2018-11-01 ,14:00,7866.58,3958.75,1.53,13.84,37.55,956.9,156.7,2098.4,371.6,365.6,365.5,0.0,995.7
