Date,Time,TotalLoadValue,FlowValue,Wind Onshore,Solar,Hydro Pumped Storage,Hydro Water Reservoir,Hydro Run-of-river and poundage,Nuclear,KKM Produktion,Beznau 2,Beznau 1,Leibstadt,Kernkraftwerk Gösgen
2018-01-01 ,00:00,7354.79,2464.82,26.4,0.21,65.7,285.8,113.35,2594.8,373.7,364.9,0.0,1073.0,783.2
2018-01-01 ,01:00,7282.36,2680.6600000000003,29.13,0.21,87.93,272.1,126.53,2810.3,373.5,364.8,0.0,1071.0,1001.0
2018-01-01 ,02:00,7457.25,2741.8300000000004,28.91,0.21,50.2,264.2,122.75,2813.4,373.7,364.4,0.0,1073.0,1002.3
2018-01-01 ,03:00,7428.88,2547.69,28.72,0.21,106.3,263.0,105.48,1864.2,373.3,363.7,0.0,1077.0,50.2
2018-01-01 ,04:00,7226.11,2640.4399999999996,25.79,0.22,66.85,249.8,106.95,2264.4,373.6,362.6,0.0,1077.0,451.2
2018-01-01 ,05:00,7241.18,2500.7599999999998,24.8,0.22,76.05,247.35,111.25,2816.7,373.6,362.2,0.0,1078.0,1002.9
2018-01-01 ,06:00,7144.63,2398.51,22.62,0.22,94.93,197.7,110.53,2816.4,373.5,362.1,0.0,1077.0,1003.8
2018-01-01 ,07:00,7020.82,2459.88,19.28,1.71,89.33,227.1,110.08,2817.0,373.3,362.1,0.0,1078.0,1003.6
2018-01-01 ,08:00,7091.02,2630.34,21.77,22.19,114.93,185.2,119.73,2818.0,373.4,362.4,0.0,1078.0,1004.2
2018-01-01 ,09:00,7236.81,2488.53,24.39,64.71,122.68,178.5,112.55,2817.5,373.4,362.6,0.0,1078.0,1003.5
2018-01-01 ,10:00,7326.15,2207.28,19.72,98.17,96.53,231.3,102.1,2815.0,373.4,363.0,0.0,1076.0,1002.6
2018-01-01 ,11:00,7326.06,2383.58,25.75,107.21,98.48,289.8,99.98,2769.0,373.7,316.4,0.0,1077.0,1001.9
2018-01-01 ,12:00,7737.1,2160.7400000000002,26.3,96.19,107.78,319.0,101.75,2763.8,373.6,312.6,0.0,1076.0,1001.6
2018-01-01 ,13:00,7623.01,2260.33,21.91,54.76,104.78,264.53,103.93,2764.0,373.5,312.6,0.0,1076.0,1001.9
2018-01-01 ,14:00,7417.35,2387.83,21.3,16.79,88.78,295.5,105.05,2803.0,373.5,350.7,0.0,1077.0,1001.8
2018-01-01 ,15:00,7396.77,2724.56,21.24,2.14,115.7,272.68,106.3,2813.6,373.5,362.9,0.0,1076.0,1001.2
2018-01-01 ,16:00,7667.75,2957.06,22.31,0.22,171.3,263.73,109.85,2814.5,373.5,363.0,0.0,1076.0,1002.0
2018-01-01 ,17:00,7892.38,1031.27,21.9,0.22,796.78,562.8,115.45,2817.6,373.6,362.7,0.0,1076.0,1005.3
2018-01-01 ,18:00,7033.24,1391.9399999999998,22.94,0.22,730.33,409.73,115.55,2814.7,373.4,362.7,0.0,1074.0,1004.6
2018-01-01 ,19:00,7236.59,1475.7400000000002,22.99,0.22,518.48,293.78,112.5,2812.3,373.5,362.9,0.0,1073.0,1002.9
2018-01-01 ,20:00,6775.97,2755.58,22.8,0.22,87.88,280.2,111.2,2814.3,373.6,363.5,0.0,1075.0,1002.2
2018-01-01 ,21:00,7374.76,3190.5,22.79,0.22,31.35,284.2,110.95,2813.6,373.6,364.3,0.0,1074.0,1001.7
2018-01-01 ,22:00,7647.98,3347.76,22.26,0.22,26.33,263.88,109.43,2814.2,373.5,364.7,0.0,1074.0,1002.0
2018-01-01 ,23:00,7604.66,3179.6,20.68,0.25,29.5,247.6,108.85,2815.6,373.6,364.7,0.0,1075.0,1002.3
2018-01-02 ,00:00,7477.52,3138.21,22.61,0.24,10.2,259.85,105.85,2819.0,373.5,364.7,0.0,1077.0,1003.8
2018-01-02 ,01:00,7471.84,3051.35,22.4,0.24,10.4,259.0,116.05,2819.4,373.5,364.6,0.0,1077.0,1004.3
2018-01-02 ,02:00,7436.15,2898.1800000000003,22.13,0.25,14.18,260.0,111.13,2818.5,373.3,364.3,0.0,1077.0,1003.9
2018-01-02 ,03:00,7262.64,2764.1600000000003,23.06,0.24,30.35,238.6,114.78,2818.5,373.5,363.6,0.0,1077.0,1004.4
2018-01-02 ,04:00,7139.91,2800.1000000000004,23.45,0.25,54.08,256.5,117.23,2364.9,373.4,362.2,0.0,1077.0,552.3
2018-01-02 ,05:00,7158.26,2329.2,23.54,0.24,88.3,300.75,120.38,2788.4,373.4,362.0,0.0,1078.0,975.0
2018-01-02 ,06:00,6745.9,1964.7600000000002,22.47,0.24,133.85,300.5,109.7,2816.5,373.5,361.7,0.0,1078.0,1003.3
2018-01-02 ,07:00,6601.41,1933.6099999999997,21.17,1.55,180.05,306.83,125.75,2819.2,373.4,361.7,0.0,1080.0,1004.1
2018-01-02 ,08:00,6744.71,1960.53,17.44,16.36,228.5,334.95,117.33,2820.4,373.4,361.6,0.0,1081.0,1004.4
2018-01-02 ,09:00,6990.62,2060.43,15.1,42.56,217.58,312.35,117.73,2820.1,373.4,362.0,0.0,1081.0,1003.7
2018-01-02 ,10:00,7115.57,2040.8200000000002,14.76,59.6,177.28,301.55,117.93,2819.6,373.6,362.3,0.0,1080.0,1003.7
2018-01-02 ,11:00,7213.92,2197.01,11.93,54.76,197.6,218.25,123.15,2819.0,373.7,362.3,0.0,1080.0,1003.0
2018-01-02 ,12:00,7308.85,2242.07,9.93,51.28,214.63,201.58,121.48,2820.4,373.7,365.4,0.0,1079.0,1002.3
2018-01-02 ,13:00,7302.56,1548.8100000000004,10.93,34.43,545.85,161.35,120.83,2820.7,373.8,365.2,0.0,1079.0,1002.7
2018-01-02 ,14:00,6956.04,1565.2300000000002,11.48,15.96,617.35,186.43,123.95,2816.5,373.7,362.8,0.0,1078.0,1002.0
2018-01-02 ,15:00,6870.26,1525.9,12.6,1.81,932.73,163.83,122.95,2816.4,373.7,362.5,0.0,1079.0,1001.2
2018-01-02 ,16:00,7058.15,1324.9299999999996,10.8,0.26,1040.83,423.15,116.5,2815.0,373.8,362.4,0.0,1078.0,1000.8
2018-01-02 ,17:00,7478.53,1180.36,13.28,0.25,1026.35,454.03,117.13,2818.4,373.7,362.6,0.0,1080.0,1002.1
2018-01-02 ,18:00,7582.16,2145.4900000000002,23.1,0.25,512.05,281.8,117.83,2818.9,373.6,362.7,0.0,1080.0,1002.6
